,Domain,Tweets
0,facebook,334
1,goo,284
2,youtube,242
3,lanacion,123
4,diariosigloxxi,107
5,hoy,101
6,abc,88
7,ultimahora,76
8,twitter,70
9,lavozdigital,56
10,nanduti,39
11,pscp,26
12,cronica,24
13,tsje,23
14,adndigital,22
15,efe,20
16,instagram,17
17,paraguay,12
18,gen,12
19,prensa-latina,10
20,launion,9
21,listenlive,8
22,rt,8
23,radio1000,7
24,panampost,7
25,telam,6
26,elpais,5
27,paper,5
28,frenteguasu,5
29,google,5
30,infobae,5
31,economis,4
32,wikipedia,4
33,medium,3
34,rockandpop,3
35,rebelion,3
36,cienciadelsur,3
37,5dias,3
38,amnesty,3
39,japoli,3
40,metro,3
41,tagrank,3
42,reuters,3
43,edeliranoticias,2
44,unicanal,2
45,ahoracde,2
46,monumental,2
47,elespanol,2
48,blogspot,2
49,bbc,2
50,hagamos,2
51,telefuturo,2
52,paraguaymipais,2
53,780am,2
54,ignoticias,2
55,europapress,2
56,actuall,2
57,snt,2
58,rdn,2
59,wwf,2
60,vimeo,2
61,bloomberg,2
62,mujeresdelpacifico,2
63,americaeconomia,2
64,kurtural,2
65,change,2
66,agendaparaguay,2
67,bit,2
68,paraguayennoticias,2
69,agencianova,2
70,aporrea,2
71,pmas,2
72,nodal,2
73,presentes,1
74,tuvotacion,1
75,lado,1
76,mundial,1
77,Correcto,1
78,otorga,1
79,mesias,1
80,tiempos,1
81,decis,1
82,uniweb,1
83,de,1
84,1,1
85,incoherencias,1
86,ande,1
87,Lorenzo,1
88,spacecamp,1
89,varinia,1
90,hispantv,1
91,Indignante,1
92,definirla,1
93,Como,1
94,emisoras,1
95,apoyo,1
96,tvparaguaya,1
97,aleteia,1
98,libremercado,1
99,elobservador,1
100,nosotros,1
101,cerca,1
102,apple,1
103,diputados,1
104,firme,1
105,ignirancia,1
106,CAPACES,1
107,mismo,1
108,laprensa,1
109,state,1
110,blindaje,1
111,aquieneselegimos,1
112,autoritario,1
113,ganar,1
114,plan-international,1
115,capitanbado,1
116,itapuanoticias,1
117,fbapp,1
118,en,1
119,mo,1
120,debate,1
121,efraim,1
122,radiouno,1
123,no,1
124,television,1
125,k,1
126,anibalcoro,1
127,como,1
128,visionpy2018,1
129,miguelangellopezperito,1
130,tererecomplice,1
131,nbim,1
132,spotify,1
133,letrap,1
134,rcc,1
135,televisa,1
136,cronicadexalapa,1
137,sateliteinside,1
138,republica,1
139,micandidato2018,1
140,plata,1
141,efedocanalisis,1
142,m4social,1
143,ine,1
144,elespectador,1
145,wordpress,1
146,adnpolitico,1
147,vanguardia,1
148,lasillarota,1
149,digitalmex,1
150,am,1
151,linderonorte,1
152,wradio,1
153,Efrain,1
154,leorubin,1
155,resumendelsur,1
156,aurora-israel,1
157,x,1
158,presidente,1
159,conservador,1
160,lavanguardia,1
161,eleconomista,1
162,sinembargo,1
163,toda,1
164,es,1
165,telesurtv,1
166,sciencedirect,1
167,audioboom,1
168,kunapyrenda,1
169,fiverr,1
170,elgatoylacaja,1
171,tuitutil,1
172,techem,1
173,un,1
174,picsart,1
175,cynthiagarcia,1
176,nyti,1
177,senado,1
178,xn--compaeros-p6a,1
179,alainet,1
