,Domain,Tweets
0,facebook,262
1,goo,262
2,youtube,184
3,lanacion,117
4,diariosigloxxi,106
5,hoy,91
6,twitter,59
7,ultimahora,42
8,abc,40
9,cronica,22
10,adndigital,20
11,pscp,13
12,instagram,12
13,prensa-latina,9
14,efe,9
15,listenlive,8
16,nanduti,8
17,telam,6
18,radio1000,5
19,lavozdigital,3
20,paraguay,3
21,reuters,3
22,edeliranoticias,2
23,780am,2
24,ignoticias,2
25,europapress,2
26,snt,2
27,5dias,2
28,americaeconomia,2
29,agencianova,2
30,aporrea,2
31,paraguaymipais,1
32,capitanbado,1
33,launion,1
34,actuall,1
35,rdn,1
36,bloomberg,1
37,mujeresdelpacifico,1
38,visionpy2018,1
39,tsje,1
40,agendaparaguay,1
