,_id,count,hour,partido
0,00,2,00,anr
1,01,2,01,anr
2,05,1,05,anr
3,06,3,06,anr
4,07,3,07,anr
5,08,15,08,anr
6,09,40,09,anr
7,10,11,10,anr
8,11,15,11,anr
9,12,12,12,anr
10,13,11,13,anr
11,14,29,14,anr
12,15,20,15,anr
13,16,65,16,anr
14,17,65,17,anr
15,18,32,18,anr
16,19,74,19,anr
17,20,568,20,anr
18,21,510,21,anr
19,22,329,22,anr
20,23,86,23,anr
0,00,8,00,plra
1,01,2,01,plra
2,02,3,02,plra
3,03,3,03,plra
4,04,1,04,plra
5,05,0,05,plra
6,06,1,06,plra
7,07,3,07,plra
8,08,12,08,plra
9,09,45,09,plra
10,10,31,10,plra
11,11,21,11,plra
12,12,48,12,plra
13,13,62,13,plra
14,14,114,14,plra
15,15,63,15,plra
16,16,89,16,plra
17,17,104,17,plra
18,18,192,18,plra
19,19,207,19,plra
20,20,3139,20,plra
21,21,3030,21,plra
22,22,1658,22,plra
23,23,499,23,plra
0,00,3,00,pdp
1,01,1,01,pdp
2,03,1,03,pdp
3,05,1,05,pdp
4,06,1,06,pdp
5,08,4,08,pdp
6,09,7,09,pdp
7,10,17,10,pdp
8,11,23,11,pdp
9,12,13,12,pdp
10,13,16,13,pdp
11,14,10,14,pdp
12,15,6,15,pdp
13,16,16,16,pdp
14,17,7,17,pdp
15,18,7,18,pdp
16,19,8,19,pdp
17,20,8,20,pdp
18,21,87,21,pdp
19,22,34,22,pdp
20,23,17,23,pdp
0,00,6,00,fg
1,01,2,01,fg
2,02,1,02,fg
3,07,1,07,fg
4,08,2,08,fg
5,09,3,09,fg
6,10,8,10,fg
7,11,4,11,fg
8,12,8,12,fg
9,13,25,13,fg
10,14,37,14,fg
11,15,20,15,fg
12,16,16,16,fg
13,17,15,17,fg
14,18,20,18,fg
15,19,11,19,fg
16,20,52,20,fg
17,21,98,21,fg
18,22,68,22,fg
19,23,21,23,fg
0,00,0,00,ppq
1,06,1,06,ppq
2,08,1,08,ppq
3,10,6,10,ppq
4,11,9,11,ppq
5,13,1,13,ppq
6,14,1,14,ppq
7,15,2,15,ppq
8,19,5,19,ppq
9,20,3,20,ppq
10,21,2,21,ppq
11,23,0,23,ppq
