,_id,count,hour,partido
0,00,16,00,anr
1,01,11,01,anr
2,02,1,02,anr
3,03,1,03,anr
4,04,2,04,anr
5,05,1,05,anr
6,06,2,06,anr
7,07,25,07,anr
8,08,19,08,anr
9,09,28,09,anr
10,10,12,10,anr
11,11,21,11,anr
12,12,12,12,anr
13,13,49,13,anr
14,14,67,14,anr
15,15,21,15,anr
16,16,16,16,anr
17,17,30,17,anr
18,18,24,18,anr
19,19,5,19,anr
20,20,6,20,anr
21,21,3,21,anr
22,22,4,22,anr
23,23,1,23,anr
0,00,79,00,plra
1,01,66,01,plra
2,02,12,02,plra
3,03,11,03,plra
4,04,22,04,plra
5,05,45,05,plra
6,06,208,06,plra
7,07,123,07,plra
8,08,191,08,plra
9,09,164,09,plra
10,10,227,10,plra
11,11,112,11,plra
12,12,79,12,plra
13,13,78,13,plra
14,14,338,14,plra
15,15,270,15,plra
16,16,206,16,plra
17,17,692,17,plra
18,18,411,18,plra
19,19,317,19,plra
20,20,255,20,plra
21,21,662,21,plra
22,22,212,22,plra
23,23,119,23,plra
0,00,7,00,pdp
1,03,2,03,pdp
2,05,3,05,pdp
3,06,2,06,pdp
4,07,5,07,pdp
5,08,11,08,pdp
6,09,6,09,pdp
7,10,8,10,pdp
8,11,9,11,pdp
9,12,4,12,pdp
10,13,6,13,pdp
11,14,40,14,pdp
12,15,57,15,pdp
13,16,18,16,pdp
14,17,13,17,pdp
15,18,2,18,pdp
16,19,12,19,pdp
17,20,4,20,pdp
18,21,5,21,pdp
19,22,2,22,pdp
20,23,3,23,pdp
0,00,11,00,fg
1,01,9,01,fg
2,03,1,03,fg
3,04,4,04,fg
4,05,14,05,fg
5,06,27,06,fg
6,07,52,07,fg
7,08,38,08,fg
8,09,19,09,fg
9,10,17,10,fg
10,11,18,11,fg
11,12,38,12,fg
12,13,20,13,fg
13,14,27,14,fg
14,15,32,15,fg
15,16,18,16,fg
16,17,31,17,fg
17,18,14,18,fg
18,19,9,19,fg
19,20,23,20,fg
20,21,52,21,fg
21,22,12,22,fg
22,23,7,23,fg
0,05,1,05,ppq
1,06,2,06,ppq
2,07,0,07,ppq
3,08,6,08,ppq
4,09,4,09,ppq
5,10,3,10,ppq
6,13,6,13,ppq
7,16,1,16,ppq
8,17,7,17,ppq
