,_id,count,date,movimiento,no_movimiento,partido
0,11/24/17,16,2017-11-24,honor colorado,colorado añetete,anr
1,11/25/17,140,2017-11-25,honor colorado,colorado añetete,anr
2,11/26/17,38,2017-11-26,honor colorado,colorado añetete,anr
3,11/27/17,94,2017-11-27,honor colorado,colorado añetete,anr
4,11/28/17,191,2017-11-28,honor colorado,colorado añetete,anr
5,11/29/17,94,2017-11-29,honor colorado,colorado añetete,anr
6,11/30/17,176,2017-11-30,honor colorado,colorado añetete,anr
7,12/01/17,596,2017-12-01,honor colorado,colorado añetete,anr
8,12/02/17,1398,2017-12-02,honor colorado,colorado añetete,anr
9,12/03/17,2378,2017-12-03,honor colorado,colorado añetete,anr
10,12/04/17,3459,2017-12-04,honor colorado,colorado añetete,anr
11,12/05/17,2093,2017-12-05,honor colorado,colorado añetete,anr
12,12/06/17,2295,2017-12-06,honor colorado,colorado añetete,anr
13,12/07/17,1614,2017-12-07,honor colorado,colorado añetete,anr
14,12/08/17,1619,2017-12-08,honor colorado,colorado añetete,anr
15,12/09/17,1451,2017-12-09,honor colorado,colorado añetete,anr
16,12/10/17,1808,2017-12-10,honor colorado,colorado añetete,anr
17,12/11/17,2891,2017-12-11,honor colorado,colorado añetete,anr
18,12/12/17,3548,2017-12-12,honor colorado,colorado añetete,anr
19,12/13/17,4009,2017-12-13,honor colorado,colorado añetete,anr
20,12/14/17,5434,2017-12-14,honor colorado,colorado añetete,anr
21,12/15/17,4939,2017-12-15,honor colorado,colorado añetete,anr
22,12/16/17,4200,2017-12-16,honor colorado,colorado añetete,anr
23,12/17/17,18637,2017-12-17,honor colorado,colorado añetete,anr
24,12/18/17,4651,2017-12-18,honor colorado,colorado añetete,anr
25,12/19/17,3006,2017-12-19,honor colorado,colorado añetete,anr
26,12/20/17,1974,2017-12-20,honor colorado,colorado añetete,anr
27,12/21/17,980,2017-12-21,honor colorado,colorado añetete,anr
28,12/22/17,1339,2017-12-22,honor colorado,colorado añetete,anr
29,12/23/17,867,2017-12-23,honor colorado,colorado añetete,anr
30,12/24/17,671,2017-12-24,honor colorado,colorado añetete,anr
31,12/25/17,360,2017-12-25,honor colorado,colorado añetete,anr
32,12/26/17,349,2017-12-26,honor colorado,colorado añetete,anr
33,12/27/17,406,2017-12-27,honor colorado,colorado añetete,anr
34,12/28/17,440,2017-12-28,honor colorado,colorado añetete,anr
35,12/29/17,483,2017-12-29,honor colorado,colorado añetete,anr
36,12/30/17,550,2017-12-30,honor colorado,colorado añetete,anr
37,12/31/17,243,2017-12-31,honor colorado,colorado añetete,anr
38,01/01/18,498,2018-01-01,honor colorado,colorado añetete,anr
39,01/02/18,648,2018-01-02,honor colorado,colorado añetete,anr
40,01/03/18,251,2018-01-03,honor colorado,colorado añetete,anr
41,01/04/18,254,2018-01-04,honor colorado,colorado añetete,anr
42,01/05/18,311,2018-01-05,honor colorado,colorado añetete,anr
43,01/06/18,210,2018-01-06,honor colorado,colorado añetete,anr
44,01/07/18,127,2018-01-07,honor colorado,colorado añetete,anr
45,01/08/18,224,2018-01-08,honor colorado,colorado añetete,anr
46,01/09/18,527,2018-01-09,honor colorado,colorado añetete,anr
47,01/10/18,230,2018-01-10,honor colorado,colorado añetete,anr
48,01/11/18,1162,2018-01-11,honor colorado,colorado añetete,anr
49,01/12/18,1864,2018-01-12,honor colorado,colorado añetete,anr
50,01/13/18,483,2018-01-13,honor colorado,colorado añetete,anr
51,01/14/18,337,2018-01-14,honor colorado,colorado añetete,anr
52,01/15/18,98,2018-01-15,honor colorado,colorado añetete,anr
0,11/24/17,45,2017-11-24,colorado añetete,honor colorado,anr
1,11/25/17,114,2017-11-25,colorado añetete,honor colorado,anr
2,11/26/17,289,2017-11-26,colorado añetete,honor colorado,anr
3,11/27/17,383,2017-11-27,colorado añetete,honor colorado,anr
4,11/28/17,300,2017-11-28,colorado añetete,honor colorado,anr
5,11/29/17,384,2017-11-29,colorado añetete,honor colorado,anr
6,11/30/17,252,2017-11-30,colorado añetete,honor colorado,anr
7,12/01/17,268,2017-12-01,colorado añetete,honor colorado,anr
8,12/02/17,592,2017-12-02,colorado añetete,honor colorado,anr
9,12/03/17,718,2017-12-03,colorado añetete,honor colorado,anr
10,12/04/17,1047,2017-12-04,colorado añetete,honor colorado,anr
11,12/05/17,2193,2017-12-05,colorado añetete,honor colorado,anr
12,12/06/17,1329,2017-12-06,colorado añetete,honor colorado,anr
13,12/07/17,1267,2017-12-07,colorado añetete,honor colorado,anr
14,12/08/17,1135,2017-12-08,colorado añetete,honor colorado,anr
15,12/09/17,1155,2017-12-09,colorado añetete,honor colorado,anr
16,12/10/17,1434,2017-12-10,colorado añetete,honor colorado,anr
17,12/11/17,1564,2017-12-11,colorado añetete,honor colorado,anr
18,12/12/17,2243,2017-12-12,colorado añetete,honor colorado,anr
19,12/13/17,1495,2017-12-13,colorado añetete,honor colorado,anr
20,12/14/17,1460,2017-12-14,colorado añetete,honor colorado,anr
21,12/15/17,762,2017-12-15,colorado añetete,honor colorado,anr
22,12/16/17,1102,2017-12-16,colorado añetete,honor colorado,anr
23,12/17/17,9316,2017-12-17,colorado añetete,honor colorado,anr
24,12/18/17,1684,2017-12-18,colorado añetete,honor colorado,anr
25,12/19/17,775,2017-12-19,colorado añetete,honor colorado,anr
26,12/20/17,950,2017-12-20,colorado añetete,honor colorado,anr
27,12/21/17,689,2017-12-21,colorado añetete,honor colorado,anr
28,12/22/17,1096,2017-12-22,colorado añetete,honor colorado,anr
29,12/23/17,752,2017-12-23,colorado añetete,honor colorado,anr
30,12/24/17,741,2017-12-24,colorado añetete,honor colorado,anr
31,12/25/17,458,2017-12-25,colorado añetete,honor colorado,anr
32,12/26/17,592,2017-12-26,colorado añetete,honor colorado,anr
33,12/27/17,331,2017-12-27,colorado añetete,honor colorado,anr
34,12/28/17,3272,2017-12-28,colorado añetete,honor colorado,anr
35,12/29/17,949,2017-12-29,colorado añetete,honor colorado,anr
36,12/30/17,272,2017-12-30,colorado añetete,honor colorado,anr
37,12/31/17,189,2017-12-31,colorado añetete,honor colorado,anr
38,01/01/18,211,2018-01-01,colorado añetete,honor colorado,anr
39,01/02/18,111,2018-01-02,colorado añetete,honor colorado,anr
40,01/03/18,78,2018-01-03,colorado añetete,honor colorado,anr
41,01/04/18,82,2018-01-04,colorado añetete,honor colorado,anr
42,01/05/18,291,2018-01-05,colorado añetete,honor colorado,anr
43,01/06/18,179,2018-01-06,colorado añetete,honor colorado,anr
44,01/07/18,270,2018-01-07,colorado añetete,honor colorado,anr
45,01/08/18,369,2018-01-08,colorado añetete,honor colorado,anr
46,01/09/18,440,2018-01-09,colorado añetete,honor colorado,anr
47,01/10/18,220,2018-01-10,colorado añetete,honor colorado,anr
48,01/11/18,112,2018-01-11,colorado añetete,honor colorado,anr
49,01/12/18,454,2018-01-12,colorado añetete,honor colorado,anr
50,01/13/18,170,2018-01-13,colorado añetete,honor colorado,anr
51,01/14/18,97,2018-01-14,colorado añetete,honor colorado,anr
52,01/15/18,146,2018-01-15,colorado añetete,honor colorado,anr
