keyword,partido_politico,candidatura,alianza,puesto,region,tipo_keyword
@aldocenturion,partido democrata cristiano,aldo centurion,,,,personal
@AlianzaGanar,ganar,efrain alegre,ganar,presidente,,org
@AndresCabapy,ppc,andres caballero,ganar,diputados,central,personal
@ANRParaguay,anr,mario abdo,,presidente,,org
@AQEpy,,,,,,general
@arnaldogiuzzio,somos py,arnaldo giuzzio,,senado,,personal
@atanasiogaleano ,partido del movimiento patriotico,,,diputado,,personal
@AuroraLezcano,prf,aurora lezcano,ganar,diputados,central,personal
@avancemos_pais,avancemos,,ganar,,,org
@BuyeBuongermini,avancemos,rodrigo buongermini,ganar,diputados,asu,personal
@CabralRomi,cruzada nacional,,,diputados,central,personal
@CamiloSoaresM,pmas,camilo soares,,senado,,personal
@caramarillapy,compromiso,carlos amarilla,,senado,,personal
@carlosarreguipy,pdp,carlos arregui,ganar,diputados,asu,personal
@carlosfilizzola ,frente guazu,carlos filizzola,,senado,,personal
@casanaslevi,pdp,jose casañas levi,ganar,diputados,central,personal
@CasartelliMa,por vos,mario casartelli,ganar,diputados,asu,personal
@clariarias,unace,clari arias,,diputados,central,personal
@ConvergenciaFG,frente guazu,,ganar,,,org
@desimasi2,pdp,desire masi,ganar,senado,,personal
@EDUARDOVIEDMA,hagamos,eduardo viedma,,diputados,asu,personal
@EfrainAlegre,plra,efrain alegre,ganar,presidente,,personal
@emiliofuster1,somos py,emilio fuster,,diputados,asu,personal
@esperanza_py,frente guazu,esperanza martinez,ganar,senado,,personal
@fidelzavala2018,patria querida,fidel zavala,,senado,,personal
@frenteampliopy,partido frente amplio,,,,,org
@FrenteGuasuPY,frente guazu,,ganar,,,org
@gduartcacavelos,pdp,guillermo duarte,ganar,senado,,personal
@GeronimoAyala4,mpip,geronimo ayala,,senado,,personal
@hermannpankow,cruzada nacional,,,diputados,asu,personal
@HugoRicher_,frente guazu,hugo richer,ganar,senado,,personal
@HugoRubinPy,pen,hugo rubin,,senado,,personal
@IvnAllende,avancemos,ivan allende,ganar,diputados,central,personal
@jcastrotenor,pdc,jorge castro,,diputados,asu,personal
