keyword,partido_politico,movimiento,lider_movimiento,candidatura
HonorColorado,anr,honor colorado,horacio cartes,
JuntosPodemosMas,anr,honor colorado,horacio cartes,santiago peña
CaminandoJuntos,anr,honor colorado,horacio cartes,santiago peña
TerritorioHonorColorado,anr,honor colorado,horacio cartes,
SigamosConversando,anr,honor colorado,horacio cartes,santiago peña
SantiPresidente,anr,honor colorado,horacio cartes,santiago peña
Lista2,anr,honor colorado,horacio cartes,
ColoradosDeBien,anr,honor colorado,horacio cartes,
VotoxSanti,anr,honor colorado,horacio cartes,santiago peña
@SantiPenap,anr,honor colorado,horacio cartes,santiago peña
@Horacio_Cartes,anr,honor colorado,horacio cartes,
MaritoDeLaGente,anr,colorado añetete,mario abdo,mario abdo
ColoradoAñetete,anr,colorado añetete,mario abdo,
ParaguayDeLaGente,anr,colorado añetete,mario abdo,mario abdo
MaritoImparable,anr,colorado añetete,mario abdo,mario abdo
MaritoPresidente,anr,colorado añetete,mario abdo,mario abdo
Añete,anr,colorado añetete,mario abdo,
Lista3,anr,colorado añetete,,
1000KmConLaGente,anr,colorado añetete,mario abdo,mario abdo
@equipo_anetete,anr,colorado añetete,mario abdo,
@MaritoAbdo,anr,colorado añetete,mario abdo,mario abdo
Lista4,anr,,,oscar tuma
tuma,anr,,,oscar tuma
TUMA2018,anr,,,oscar tuma
TumaSenador,anr,,,oscar tuma
Lista5,anr,progresista colorado,nicanor duarte frutos,nicanor duarte frutos
NicanorSenador,anr,progresista colorado,nicanor duarte frutos,nicanor duarte frutos
InternasANR,anr,,,
paraguayelige,anr,,,
EsAhora,plra,,efrain alegre,efrain alegre
VamosAGanarTodos,plra,,efrain alegre,efrain alegre
@EfrainAlegre,plra,,efrain alegre,efrain alegre
VotáLista7,plra,equipo joven,blas llano,carlos mateo balmelli
CarlosMateoPresidente,plra,equipo joven,blas llano,carlos mateo balmelli
@carlosmateopy,plra,equipo joven,blas llano,carlos mateo balmelli
InternasPLRA,plra,,,
@leitorubin,frente guazu,,,
@FrenteGuasuPY,frente guazu,,,
Renovemos,patria querida,,,
@srasmusseng,patria querida,,,stephan rasmussen
@fidelzavala2018,patria querida,,,fidel zavala
@sebavillarejo,patria querida,,,sebastián villarejo
@RocioVallejoA,patria querida,,,rocío vallejos
ElCambioJuntos,progresista democratico (pdp),,,
ElegiBien,progresista democratico (pdp),,,
Elegi100,progresista democratico (pdp),,,
VotaNaKape,gobierno,,,
YoReporto17D,independiente,,,
PyVota,independiente,,,
InternasPy,independiente,,,
