Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
0,lauapariciolugo,,None,None,0.745675,,0,8,8,0,8,8,9,0.223536,0.241233,0
1,orlystat,,None,None,1.869231,,0,1,1,0,1,1,10,0.206723,0.218502,0
2,silvanaboccia,,None,None,2.34375,,0,1,1,0,1,1,9,0.21015,0.222392,0
3,CambiemosPy,,None,None,2.627907,,0,3,3,0,3,3,10,0.219563,0.233598,0
4,Freddjt,,None,None,0.906921,,1,10,11,1,11,12,9,0.257783,0.280393,20850.533646
5,jpinanez,,None,None,1.442857,,0,2,2,0,2,2,9,0.214113,0.226913,0
6,Magigoqui,,None,None,1,,0,1,1,0,1,1,10,0.212793,0.225462,0
7,Juanchisosa21,,None,None,2.578947,,1,1,2,1,1,2,10,0.168305,0.174239,0
8,Letilan,,anr,anr,3.922535,,0,3,3,0,4,4,10,0.210567,0.222965,0
9,abzurdita,,None,None,1.149123,,5,3,8,5,4,9,10,0.219601,0.23427,219.213071
10,SilvitaMariaQ,,None,None,6.481482,,0,4,4,0,4,4,9,0.242161,0.258646,0
11,kcgd0487,,plra,plra,12,,0,2,2,0,4,4,10,0.224124,0.240249,0
12,DaniloBritos2,,anr,anr,105,,1,2,3,1,4,5,10,0.20924,0.223173,178.084701
13,FABIANMOREL,,None,None,5.405829,,0,2,2,0,2,2,9,0.245193,0.263288,0
14,noeliablondi1,,None,None,1.443077,,0,2,2,0,2,2,11,0.164131,0.170741,0
15,PR1NSS3,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
16,bony_py,,None,None,4,,1,3,4,1,3,4,9,0.247129,0.265803,9794.438557
17,diablopy,,None,None,3.340909,,0,1,1,0,1,1,10,0.184167,0.191382,0
18,MERCYMUA4,,None,None,6.578948,,0,1,1,0,1,1,9,0.20556,0.215326,0
19,alvarojsoto,,None,None,0.359418,,0,1,1,0,1,1,1,1,1,0
20,david_ing,,None,None,4,,6,2,8,6,2,8,10,0.181163,0.189374,8714.088083
21,Depredathor007,,None,None,9.694445,,2,1,3,2,1,3,9,0.244943,0.263741,0
22,Sergio_Fleitas7,,None,None,6,,0,3,3,0,3,3,8,0.23568,0.249136,0
23,eduJ_84,,None,None,0.170306,,0,1,1,0,1,1,13,0.135638,0.139451,0
24,Euamr,,None,None,0.5,,0,1,1,0,1,1,10,0.212793,0.225462,0
25,Jaguareteka_a,,None,None,11.913794,,0,1,1,0,1,1,9,0.201932,0.21262,0
26,MarinaGomila4,,None,None,0.545045,,0,1,1,0,3,3,11,0.181204,0.189918,0
27,pomberito_,,None,None,0.877419,,0,2,2,0,2,2,9,0.227014,0.241379,0
28,uninsolventemas,,None,None,2.280867,,2,5,7,2,5,7,10,0.221037,0.237224,8698
29,yiyilela,,None,None,1.316239,,0,1,1,0,1,1,10,0.19297,0.202686,0
30,rafa_gonzalez_9,,None,None,0.82029,,0,1,1,0,1,1,10,0.207998,0.219602,0
31,omarorregot,,None,None,1.911392,,0,2,2,0,2,2,9,0.236587,0.252673,0
32,juanmapetta,,None,None,0.794769,,25,7,32,28,10,38,8,0.245538,0.263206,76784.64644
33,A152a,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
34,veritozaca,,None,None,1.718053,,1,5,6,1,5,6,9,0.237931,0.254841,5423.178144
35,jodarove,,None,None,0.965625,,0,1,1,0,1,1,10,0.205803,0.216891,0
36,levantomimate,,None,None,2.283333,,3,7,10,4,10,14,9,0.264063,0.288758,14144.777873
37,BuhoParchado,,None,None,7.2,,0,2,2,0,3,3,10,0.221171,0.236949,0
38,PedroRi25100223,,None,None,0,,0,1,1,0,1,1,10,0.218646,0.233216,0
39,Rluichi,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
40,carlosh_britos,,None,None,1.030928,,0,8,8,0,11,11,9,0.240886,0.260648,0
41,EmelyLugo,,None,None,1.539906,,2,1,3,2,1,3,0,0,0,0
42,LedyAlmiron,,None,None,3,,0,1,1,0,1,1,9,0.222849,0.234612,0
43,aristid_benitez,,None,None,3.727273,,1,8,9,1,8,9,9,0.2531,0.275115,4348
44,fjaviergimenez,,None,None,1.540043,,5,6,11,5,6,11,9,0.24934,0.268988,10371.153991
45,magrisel59,,None,None,2.326065,,0,1,1,0,1,1,10,0.193287,0.203842,0
46,eg959,,None,None,2.840336,,0,2,2,0,2,2,9,0.25075,0.271432,0
47,louvitabar,,None,None,0.183684,,0,1,1,0,1,1,11,0.181204,0.189918,0
48,adaibarrola,,None,None,1.958904,,0,1,1,0,1,1,10,0.179373,0.187731,0
49,AlvaroFBlanco,,None,None,0.84689,,2,1,3,2,1,3,10,0.212536,0.221975,0
50,rpiFufC5K0DO1u6,,anr,anr,0.481579,,1,2,3,2,2,4,11,0.173498,0.180662,127.491124
51,fede90rodriguez,,None,None,1.134694,,0,1,1,0,1,1,10,0.203682,0.214654,0
52,Tranceunte1,,pdp,pdp,1.833333,,0,48,48,0,58,58,8,0.299539,0.333282,0
53,efedefab,,None,None,6.510204,,0,1,1,0,2,2,9,0.244972,0.263795,0
54,migueltduarte,,None,None,1.375,,0,1,1,0,1,1,13,0.135638,0.139451,0
55,RodrigoCino,,None,None,0.791237,,0,1,1,0,1,1,10,0.184746,0.194459,0
56,pamego92,,None,None,1.99455,,0,4,4,0,5,5,10,0.22372,0.240683,0
57,RosaAnastaciaE1,,plra,plra,9.285714,,0,3,3,0,7,7,10,0.219109,0.234949,0
58,darioacunab,,None,None,1.821429,,0,1,1,0,1,1,10,0.190052,0.201154,0
59,RAFAELLEALSALAZ,,None,None,0.876335,,0,2,2,0,2,2,11,0.172615,0.179404,0
60,_mel_s0l_,,None,None,3.5,,0,1,1,0,1,1,10,0.212793,0.225462,0
61,burgosrodrigo92,,None,None,1.72093,,0,0,0,0,0,0,0,0,0,0
62,AlbertPorti77,,None,None,3.471655,,0,1,1,0,1,1,9,0.23731,0.25257,0
63,shikisalevolla,,None,None,1.064677,,0,1,1,0,1,1,10,0.214261,0.228492,0
64,maureenmagali,,None,None,0.658986,,0,2,2,0,2,2,10,0.190685,0.198544,0
65,LaMuerteOf,,None,None,10.625,,0,1,1,0,1,1,2,0.666667,0.75,0
66,MoraleRolon,,anr,anr,3.184211,,0,1,1,0,1,1,12,0.144832,0.148854,0
67,Cristia96297944,,None,None,27.166666,,0,1,1,0,1,1,10,0.194176,0.205561,0
68,RAQGUZ,,None,None,2.484848,,0,2,2,0,2,2,2,0.666667,0.75,0
69,derlisCCP2015,,None,None,3.633663,,0,1,1,0,1,1,11,0.176168,0.183454,0
70,Alberto55677419,,None,None,14.5,,0,1,1,0,1,1,9,0.19717,0.20592,0
71,rosalino1421,,None,None,0.541913,,0,1,1,0,1,1,11,0.169334,0.175725,0
72,giniux,,None,None,2.344828,,0,1,1,0,1,1,1,1,1,0
73,GustavoCanete,,None,None,1.261993,,4,1,5,4,1,5,9,0.222855,0.23462,1284.286872
74,SabriBenitez,,None,None,0.556222,,0,2,2,0,2,2,10,0.21296,0.225922,0
75,dfvegar,,None,None,5.537975,,0,1,1,0,1,1,9,0.229531,0.243187,0
76,tierranuevapy,,None,None,1.948,,0,1,1,0,1,1,11,0.180685,0.18878,0
77,GuidoFQuesada,,pdp,pdp,1.76611,,14,14,28,15,28,43,8,0.268682,0.294112,18345.609231
78,Betty_porro,,hagamos,hagamos,1.887208,,4,9,13,7,11,18,8,0.258458,0.276022,12421.587327
79,MabelCarrere,,None,None,3.833333,,1,1,2,1,1,2,10,0.215555,0.22835,0
80,jennyarce91,,None,None,0.181182,,0,1,1,0,1,1,10,0.205259,0.216673,0
81,jmovandoj,,None,None,3.323741,,2,6,8,5,6,11,9,0.248046,0.269182,114.350971
82,Fredbusta24,,None,None,14.25,,0,1,1,0,1,1,10,0.181159,0.189369,0
83,burguete_alex,,None,None,6.171052,,0,1,1,0,1,1,10,0.210914,0.223205,0
84,raulsaguier,,None,None,1.117021,,0,1,1,0,1,1,10,0.214261,0.228492,0
85,Hecolubus,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
86,EDUARDO35CCP,,plra,plra,5.371571,,0,16,16,0,35,35,9,0.249369,0.273805,0
87,Nietzsche_py,,None,None,6.4375,,0,1,1,0,1,1,11,0.181803,0.191275,0
88,bueno_leuco,,anr,anr,6.828571,,16,17,33,21,40,61,9,0.250519,0.267746,223988.793341
89,Ch0cha1,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
90,Bernacaba2016,,pdp,pdp,0.49505,,28,38,66,79,68,147,8,0.291823,0.326261,62190.955575
91,elperro1912,,anr,anr,3.24017,,2,1,3,2,2,4,11,0.169335,0.175727,0
92,Dalita_Pereira,,None,None,0.879699,,2,7,9,2,7,9,9,0.226371,0.243863,86.885486
93,gide44,,None,None,2.861538,,0,2,2,0,2,2,10,0.217443,0.231367,0
94,SCTania,,None,None,0.664179,,0,1,1,0,1,1,11,0.184105,0.19314,0
95,lebecontable,,None,None,2,,0,1,1,0,1,1,10,0.200544,0.211058,0
96,t_i_t_o,,None,None,0.832765,,0,7,7,0,7,7,9,0.2258,0.244055,0
97,noemi_r21,,None,None,0.724265,,0,2,2,0,3,3,10,0.201651,0.212682,0
98,MontseRisso,,None,None,0.717868,,0,2,2,0,2,2,10,0.206664,0.218818,0
99,marticarvallo,,None,None,4.367965,,0,1,1,0,1,1,10,0.175819,0.183003,0
100,hugoalegre84631,,None,None,3.820513,,1,1,2,1,1,2,10,0.184746,0.194459,4348
101,jmcodas,,None,None,1.394102,,0,1,1,0,1,1,9,0.219054,0.232049,0
102,Joseca67,,plra,plra,1.08658,,0,1,1,0,1,1,10,0.209149,0.222855,0
103,An_Arevalos,,None,None,2.342105,,0,1,1,0,1,1,10,0.199166,0.208776,0
104,paraguariensis_,,None,None,7.311111,,5,0,5,5,0,5,0,0,0,0
105,moni_ovialca,,None,None,2.152381,,2,4,6,3,5,8,9,0.250158,0.270641,2.57776
106,dangerous2092,,None,None,2.682927,,1,7,8,2,10,12,10,0.225093,0.242752,19269.770489
107,aleman_mateo,,None,None,1.570743,,0,1,1,0,1,1,10,0.199761,0.209531,0
108,Sofiabriel,,None,None,2.397196,,1,1,2,1,2,3,10,0.212793,0.225462,0.579079
109,TallerPichi,,None,None,3.021053,,3,1,4,3,1,4,11,0.160087,0.165521,8731.850959
110,BETZABETHGG,,None,None,2.692091,,0,0,0,0,0,0,0,0,0,0
111,sdanielgc,,None,None,3.5,,0,1,1,0,1,1,11,0.182789,0.191364,0
112,KikeEnciso,,None,None,0.039826,,6,2,8,6,6,12,10,0.190549,0.199816,15828.680766
113,resedamartinez,,None,None,1.479167,,0,1,1,0,1,1,10,0.212793,0.225462,0
114,NogueraAmilcar,,None,None,0.740377,,0,1,1,0,1,1,10,0.208038,0.217852,0
115,RxdrigxCcp1912,,None,None,1.186391,,0,1,1,0,1,1,10,0.191314,0.200862,0
116,gustavosilvero9,,None,None,2.75,,0,2,2,0,2,2,9,0.250144,0.269808,0
117,PADboy,,None,None,2.543253,,0,1,1,0,1,1,9,0.20929,0.220842,0
118,Scsmitter,,None,None,3.070796,,0,1,1,0,1,1,10,0.196298,0.205217,0
119,Kittyamlito,,None,None,1.323944,,0,1,1,0,1,1,1,1,1,0
120,redaccioncaba,,plra,plra,2.038168,,0,2,2,0,3,3,11,0.184564,0.193625,0
121,ocamposnico,,None,None,2.039474,,0,1,1,0,1,1,9,0.20556,0.215326,0
122,JuventudColorad,,anr,anr,0.871605,,9,0,9,10,0,10,0,0,0,0
123,CynthiaTrompis,,None,None,0.967054,,0,1,1,0,1,1,10,0.212793,0.225462,0
124,TeresaGaray96,,None,None,0.593865,,0,1,1,0,1,1,11,0.164897,0.170552,0
125,dannielurutu,,None,None,0.946921,,2,5,7,2,6,8,9,0.234605,0.250619,19086.784611
126,Josema_jara,,None,None,2.155477,,4,4,8,4,4,8,9,0.204228,0.21678,119.094191
127,chetter1912,,None,None,9.7,,0,2,2,0,2,2,10,0.214451,0.227741,0
128,walter_legui23,,None,None,1.196808,,0,1,1,0,1,1,10,0.184754,0.194368,0
129,Chyrlay,,None,None,0.75,,0,1,1,0,1,1,10,0.212793,0.225462,0
130,JessicaDohmen,,plra,plra,1.298507,,0,1,1,0,1,1,11,0.179729,0.187418,0
131,PazSchafer,,None,None,0.418831,,0,2,2,0,2,2,10,0.206782,0.218743,0
132,Naustel,,anr,anr,10.918033,,0,6,6,0,8,8,9,0.248216,0.26782,0
133,AleitaCostadoni,,None,None,1.870504,,1,1,2,1,1,2,10,0.198765,0.209258,0
134,Ramoncholo,,None,None,3.508197,,0,4,4,0,4,4,10,0.218247,0.232649,0
135,NellyNellyinsa,,None,None,33,,0,2,2,0,2,2,10,0.218087,0.230154,0
136,JavierO21359511,,None,None,47.933334,,3,11,14,6,19,25,9,0.256763,0.279627,125274.554235
137,jhonyarielcez,,None,None,2.491525,,0,4,4,0,4,4,9,0.21424,0.227837,0
138,30raprs,,None,None,3.857798,,0,2,2,0,2,2,9,0.238286,0.253276,0
139,andreitasego,,None,None,0.337045,,0,1,1,0,1,1,10,0.207443,0.220767,0
140,DanyCerrista,,None,None,1.495818,,3,14,17,3,18,21,8,0.256733,0.277387,27688.190855
141,Oteruffinelli,,pdp,pdp,1.252125,,5,10,15,6,15,21,9,0.266589,0.292666,2372.60933
142,josejosemadrid,,None,None,4.156352,,5,4,9,13,7,20,10,0.215668,0.229191,859.829314
143,0985260950,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
144,Tribiiii,,None,None,0.48005,,0,1,1,0,1,1,11,0.175542,0.182593,0
145,CarlitosGali,,None,None,2.1,,105,28,133,126,40,166,8,0.290013,0.318941,651382.361769
146,HugoGimnez4,,None,None,37.411766,,0,1,1,0,1,1,10,0.207324,0.21873,0
147,CaffarenaRaul,,None,None,1.226415,,0,1,1,0,1,1,10,0.206723,0.218502,0
