keyword,partido_politico,candidatura,alianza,puesto,region,tipo_keyword
@aldocenturion,pdc,Aldo Centurión,,,,personal
@AlianzaGanar,ganar,efrain alegre,ganar,presidente,,org
@AndresCabapy,ppc,andres caballero,ganar,diputados,central,personal
@ANRParaguay,anr,mario abdo,,presidente,,org
@atanasiogaleano,partido del movimiento patriotico,,,diputado,,personal
@AuroraLezcano,prf,aurora lezcano,ganar,diputados,central,personal
@avancemos_pais,avancemos,,ganar,,,org
@BuyeBuongermini,avancemos,rodrigo buongermini,ganar,diputados,capital,personal
@CabralRomi,cruzada,,,diputados,central,personal
@CamiloSoaresM,pmas,camilo soares,,senado,,personal
@caramarillapy,compromiso,carlos amarilla,,senado,,personal
@carlosarreguipy,pdp,carlos arregui,ganar,diputados,capital,personal
@carlosfilizzola,fg,carlos filizzola,,senado,,personal
@casanaslevi,pdp,jose casañas levi,ganar,diputados,central,personal
@CasartelliMa,porvos,mario casartelli,ganar,diputados,capital,personal
@clariarias,unace,clari arias,,diputados,central,personal
@ConvergenciaFG,fg,,ganar,,,org
@desimasi2,pdp,desire masi,ganar,senado,,personal
@EDUARDOVIEDMA,hagamos,eduardo viedma,,diputados,capital,personal
@EfrainAlegre,plra,efrain alegre,ganar,presidente,,personal
@emiliofuster1,somospy,emilio fuster,,diputados,capital,personal
@esperanza_py,fg,esperanza martinez,ganar,senado,,personal
@fidelzavala2018,ppq,fidel zavala,,senado,,personal
@frenteampliopy,partido frente amplio,,,,,org
@FrenteGuasuPY,fg,,ganar,,,org
@gduartcacavelos,pdp,guillermo duarte,ganar,senado,,personal
@GeronimoAyala4,mpip,geronimo ayala,,senado,,personal
@hermannpankow,cruzada,,,diputados,capital,personal
@HugoRicher_,fg,hugo richer,ganar,senado,,personal
@HugoRubinPy,pen,hugo rubin,,senado,,personal
@IvnAllende,avancemos,ivan allende,ganar,diputados,central,personal
@jcastrotenor,pdc,jorge castro,,diputados,capital,personal
@JorgeRolonLuna,pmas,jorge rolon luna,,diputados,capital,personal
@josefinaduarteb,prf,josefina duarte,ganar,senado,,personal
@KattyaGonzalez9,pen,kattya gonzalez,,diputados,central,personal
@KunaPyrenda,kuna pyrenda,,,,,org
@leitorubin,fg,,ganar,,,personal
@LilianSotoB,kuna pyrenda,lilian soto,,senado,,personal
@lilioirale,nosotros,lilio irala,,senado,,personal
@MarioAPazC,ppq,mario paz castaing,,parlasur,,personal
@MaritoAbdo‏,anr,mario abdo,,presidente,,personal
@MartinezToppi,compromiso,richard martínez toppi,,diputados,capital,personal
@MaRuMa79,de la a,mario ruben marecos,,diputados,capital,personal
@MCC_prensa,compromiso,,,,,org
@milibritez,de la a,mili britez,,senado,,personal
@NoeliaQuintana9,soberania,noelia quintana,,diputados,capital,personal
@OcamposRoge,pmas,rogelio ocampos,,parlasur,,personal
@olgadiputada,compromiso,olga ferreira,,diputados,capital,personal
@OmarOcamposPy,pen,omar ocampos,,diputados,capital,personal
@OvejerJorge,somospy,jorge ovejero,,parlasur,,personal
@PaisSolidario,pais solidario,,ganar,,,org
@paola_horita,compromiso,paola horita,,diputados,alto parana,personal
@ParaguayoCubas,cruzada,,,senado,,personal
@partidodla,de la a,,,,,org
@partidohagamos,hagamos,,,,,org
@PartidoUnace,unace,,,,,org
@patriaquerida,ppq,,,,,org
@pdpprogresista,pdp,,ganar,,,org
@PLRAPY,plra,efrain alegre,ganar,presidente,,org
@pmaspy,pmas,,ganar,,,org
@PodemosPais,podemos,,ganar,,,org
@ppcpy,ppc,,ganar,,,org
@Prf_Paraguay,prf,,ganar,,,org
@Pykare,avancemos,adolfo ferreiro,ganar,senado,,personal
@RamonVeraV,pmas,ramon vera venialgo,,diputados,central,personal
@raulmelamed,pj,raul melamed,,diputados,capital,personal
@RicardoCanese,porvos,ricardo canese,ganar,parlasur,,personal
@rociocasco2,avancemos,rocio casco,ganar,diputados,central,personal
@RocioVallejoA,ppq,rocio vallejo,,diputados,central,personal
@rogeliocentral1,somospy,rogelio delgado,,diputados,central,personal
@RPatriotica,reserva patriotica,,,,,org
@sebavillarejo,ppq,sebastian villarejo,,diputados,capital,personal
@senadorMLopezP,avancemos,miguel lopez perito,ganar,senado,,personal
@somos_paraguay,somospy,,,,,org
@srasmusseng,ppq,stephan rasmussen,,senado,,personal
@terisilvero,pen,teresita silvero,,parlasur,,personal
@tonyapuril,hagamos,tony apuril,,senado,,personal
@ultrazoquet,hagamos,tito ibarrola,,diputados,central,personal
@VargasDaniel01,pdc,daniel vargas,,central,,personal
AlianzaGANAR,ganar,efrain alegre,ganar,presidente,,org
AsunciónPorVos,porvos,,,,,org
DebatePresidencial,,,,presidente,,general
DebatePy2018,,,,presidente,,general
DesiConLaGente,pdp,desire masi,ganar,senado,,personal
ElCambioEsPosible,plra,efrain alegre,ganar,presidente,,org
ElCambioJuntos,pdp,,ganar,,,org
Elecciones2018,,,,,,general
Elegi100,pdp,,ganar,,,org
ElegiBien,pdp,,ganar,,,org
EsAhora,plra,efrain alegre,ganar,presidente,,org
EscuchandoteAVos,plra,efrain alegre,ganar,presidente,,org
GanarElCambio,,,ganar,,,org
Hagamos,hagamos,tony apuril,,senado,,org
lista 20,hagamos,tony apuril,,senado,,org
Lista1,anr,mario abdo,,presidente,,org
Lista2,plra,efrain alegre,ganar,presidente,,org
MaritoDebate,anr,mario abdo,,presidente,,org
MaritoDeLaGente,anr,mario abdo,,presidente,,org
MaritoPresidente,anr,mario abdo,,presidente,,org
NicanorSenador,anr,nicanor duarte frutos,,presidente,,personal
ParaguayDeLaGente,anr,mario abdo,,presidente,,org
paraguayelige,,,,,,general
ParaguayMbarete,pdp,desire masi,ganar,senado,,personal
ParaguaySeMueve,anr,mario abdo,,presidente,,org
YoMeSumo,ppq,,,,,org
